filename,status,reason,local_size,integrity_check
BROWSE.MYD11A1.A2020055.h29v08.061.2021006143813.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",12287,PASS (Structure Only)
BROWSE.MYD11A1.A2020056.h28v08.061.2021006162204.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",11770,PASS (Structure Only)
BROWSE.MYD11A1.A2020040.h29v08.061.2021005140233.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",9726,PASS (Structure Only)
BROWSE.MYD11A1.A2020056.h29v08.061.2021006162241.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",15669,PASS (Structure Only)
BROWSE.MYD11A1.A2020057.h28v08.061.2021006162537.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",12807,PASS (Structure Only)
MYD11A1.A2020057.h27v08.061.2021006162531.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",622868,PASS (Structure Only)
BROWSE.MYD11A1.A2020058.h28v08.061.2021006181148.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",13665,PASS (Structure Only)
BROWSE.MYD11A1.A2020053.h29v08.061.2021006114516.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",11428,PASS (Structure Only)
BROWSE.MYD11A1.A2020054.h29v08.061.2021006142349.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",17558,PASS (Structure Only)
MYD11A1.A2020055.h28v08.061.2021006143808.cmr.xml,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",15823,PASS (Structure Only)
BROWSE.MYD11A1.A2020042.h28v08.061.2021005165257.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",10177,PASS (Structure Only)
BROWSE.MYD11A1.A2020020.h29v08.061.2021004084803.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",15102,PASS (Structure Only)
MYD11A1.A2020054.h27v08.061.2021006142058.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",1046646,PASS (Structure Only)
MYD11A1.A2020060.h29v08.061.2021006200658.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",381924,PASS (Structure Only)
BROWSE.MYD11A1.A2020050.h27v08.061.2021006013342.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",6173,PASS (Structure Only)
BROWSE.MYD11A1.A2020058.h29v08.061.2021006181242.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",11135,PASS (Structure Only)
BROWSE.MYD11A1.A2020060.h28v08.061.2021006200648.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",11610,PASS (Structure Only)
MYD11A1.A2020058.h27v08.061.2021006181149.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",1280468,PASS (Structure Only)
BROWSE.MYD11A1.A2020062.h27v08.061.2021006214347.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",7680,PASS (Structure Only)
BROWSE.MYD11A1.A2020063.h29v08.061.2021006214745.2.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",5699,PASS (Structure Only)
BROWSE.MYD11A1.A2020055.h27v08.061.2021006143755.2.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",11628,PASS (Structure Only)
BROWSE.MYD11A1.A2020063.h28v08.061.2021006214746.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",8667,PASS (Structure Only)
