filename,status,reason,local_size,remote_checksum,local_checksum,path,processing_time
MOD11A1.A2020095.h28v08.061.2021007224018.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2020095.h28v08.061.2021007224018.hdf,
MOD11A1.A2021273.h27v08.061.2021278092929.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2021273.h27v08.061.2021278092929.hdf,
MOD11A1.A2022001.h28v08.061.2022004025056.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2022001.h28v08.061.2022004025056.hdf,
MOD11A1.A2020350.h29v08.061.2021020124245.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2020350.h29v08.061.2021020124245.hdf,
MOD11A1.A2020038.h28v08.061.2021005113709.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2020038.h28v08.061.2021005113709.hdf,
MOD11A1.A2021164.h28v08.061.2021165091858.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2021164.h28v08.061.2021165091858.hdf,
MOD11A1.A2021041.h27v08.061.2021042223433.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2021041.h27v08.061.2021042223433.hdf,
MOD11A1.A2022146.h29v08.061.2022147090221.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2022146.h29v08.061.2022147090221.hdf,
MOD11A1.A2021077.h29v08.061.2021082122141.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2021077.h29v08.061.2021082122141.hdf,
MOD11A1.A2020187.h27v08.061.2021012142853.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2020187.h27v08.061.2021012142853.hdf,
MOD11A1.A2021018.h29v08.061.2021041154654.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2021018.h29v08.061.2021041154654.hdf,
MOD11A1.A2020097.h28v08.061.2021008002405.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2020097.h28v08.061.2021008002405.hdf,
MOD11A1.A2021164.h29v08.061.2021165091508.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2021164.h29v08.061.2021165091508.hdf,
MOD11A1.A2020299.h29v08.061.2021017234044.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2020299.h29v08.061.2021017234044.hdf,
