Date,23GHz,89GHz,SMC,Reason
2024-01-30,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-01-31,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-02-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-02-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-02-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-02-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-03-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-03-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-03-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-03-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-03-30,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-03-31,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-04-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-04-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-04-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-04-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-04-30,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-05-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-05-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-05-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-05-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-05-30,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-05-31,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-06-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-06-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-06-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-06-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-06-30,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-07-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-07-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-07-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-07-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-07-30,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-07-31,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-08-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-08-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-08-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-08-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-08-30,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-08-31,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-09-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-09-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-09-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-09-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-09-30,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-10-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-10-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-10-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-10-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-10-30,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-10-31,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-12-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-12-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-12-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-12-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-12-30,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2024-12-31,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
